id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
credit_risk_premium_indicator,Credit Risk Premium Sensitivity,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,1,1,[]
current_liabilities_to_price,Current Liabilities-to-Price,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.846,2,2,[]
current_ratio_2,Current Ratio,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.3646,0,0,[]
distress_risk_measure,Distress Measure,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.8433,1,1,[]
dividends_to_gross_profit,Total dividends paid divided by gross profit.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,2,2,[]
earnings_expectation_module_score,Earnings Expectations,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,1,1,[]
earnings_momentum_analyst_score,Reported Earnings Momentum,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,3,3,[]
earnings_momentum_composite_score,Earnings Momentum Composite,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,1,1,[]
earnings_momentum_composite_score_2,Earnings Momentum Composite,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,4,4,[]
earnings_revision_magnitude,Street Revision Magnitude,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.8143,3,5,[]
earnings_shortfall_metric,Earnings Shortfall,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,1,1,[]
earnings_torpedo_indicator,Next four quarter EPS estimate plus trailing twelve-month real earnings surprise divided by trailing EPS.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,0,0,[]
emea_sales_exposure,EMEA Sales Exposure,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.8355,2,2,[]
enterprise_value_weighted_value_score,Earnings Valuation,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,4,5,[]
equity_value_score,Earnings Quality,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,2,4,[]
fcf_yield_multiplied_forward_roe,Product of TTM FCF Yield and Forward ROE,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.9716,4,10,[]
fcf_yield_times_forward_roe,Product of TTM FCF Yield and Forward ROE,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,1,1,[]
fcf_yield_times_forward_roe_2,Product of TTM FCF Yield and Forward ROE,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,1,1,[]
fifteen_to_thirtysix_week_price_ratio,15/36 Week Stock Price Ratio,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,0,0,[]
fifty_to_two_hundred_day_price_ratio,50-200 Day Stock Price Ratio,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,1,1,[]
financial_statement_value_score,Financial Statement Valuation,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,3,4,[]
five_year_dividend_growth_rate_2,5-Year Dividend Growth Rate : It is defined as the 5-year growth in dividends,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.3315,1,1,[]
five_year_eps_stability,Standard deviation of last five years’ trailing twelve-month EPS divided by their mean.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,2,3,[]
five_year_eps_trend_r_squared_2,"R-squared of the five-year trailing twelve-month EPS trend line, indicating earnings trend fit.","{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,2,2,[]
five_year_eps_trend_slope_2,Slope coefficient of the five-year trailing twelve-month EPS trend line.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,0,0,[]
fixed_cash_to_current_liabilities_ratio,"Ratio of cash and equivalents to current liabilities, using a fixed calculation method.","{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.4969,1,3,[]
forward_book_value_to_price,Forward-looking book value per share divided by closing price.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,0,0,[]
forward_cash_flow_to_price,Forward-looking cash flows per share divided by price.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,1,1,[]
forward_ebitda_to_enterprise_value_2,Forward-looking EBITDA divided by enterprise value.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,2,2,[]
forward_median_earnings_yield,Leading 12-Month Median Earnings Yield,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.4604,1,1,[]
forward_sales_to_price,Forward-looking sales per share divided by trading price.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,1,1,[]
forward_two_year_eps_growth,2-Year Ahead EPS Growth,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.4604,0,0,[]
forward_two_year_eps_growth_rate,2-Year Projected EPS Growth,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,2,2,[]
fundamental_growth_module_score,Fundamental Growth,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,0,0,[]
fy1_eps_estimate_dispersion_2,FY1 EPS Estimates Dispersion,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.4401,1,1,[]
fy2_eps_estimate_dispersion,FY2 EPS Forecast Dispersion,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,2,2,[]
global_dividend_model_composite_score,Global Dividend,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.4616,0,0,[]
gross_profit_margin_ttm_2,Trailing twelve-month gross profit margin.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,0,0,[]
gross_profit_to_assets_ratio,Trailing twelve-month gross profit to assets ratio.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,1,1,[]
high_low_eps_revision_sum,Street Revision Confidence,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.998,1,1,[]
housing_starts_indicator,Housing Starts Sensitivity,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,1,2,[]
implied_minus_realized_volatility_2,Volatility Spread,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.9661,6,7,[]
implied_option_volatility,Implied Volatility,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.9665,4,7,[]
income_statement_value_score,Investor Sentiment,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,3,3,[]
industrial_production_indicator,Industrial Production Sensitivity,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,0,0,[]
industry_adjusted_doubtful_receivables,"Asset-adjusted annual doubtful receivables minus industry average, deflated by standard deviation.","{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.5608,2,2,[]
industry_rel_ttm_sales_to_ev,Industry-relative TTM Sales to Enterprise Value,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,1,1,[]
industry_relative_book_to_market,"Book-to-price ratio less industry average, deflated by industry standard deviation.","{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,2,2,[]
industry_relative_ebitda_to_price,"EBITDA-to-price ratio less industry average, deflated by industry standard deviation.","{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.9883,1,1,[]
industry_relative_eps_to_price,"EPS-to-price ratio less industry average, deflated by industry standard deviation.","{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,0,0,[]
industry_relative_fcf_to_price,"Free cash flow-to-price ratio less industry average, deflated by industry standard deviation.","{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,0,0,[]
industry_relative_return_4w,"Stock's 4-week return minus industry average, deflated by standard deviation.","{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,3,4,[]
industry_relative_return_5d,"Stock's 5-day return minus industry average, deflated by standard deviation.","{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,4,4,[]
industry_relative_sales_to_price,"Sales-to-price ratio less industry average, deflated by industry standard deviation.","{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,1,1,[]
inflation_rate_indicator,Inflation Sensitivity,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,2,2,[]
interest_coverage_ratio_5,Interest Coverage,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.4286,0,0,[]
inventory_change_avg_assets,Change in Inventory to Average Assets,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.9295,0,0,[]
inverse_peg_earnings_growth,Inverse of PEG Ratio,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.7407,0,0,[]
inverse_peg_ratio,Inverse of PEG Ratio,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,2,2,[]
inverse_peg_ratio_2,Inverse of PEG Ratio,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,2,2,[]
lagged_inverse_peg_ratio,Lagged Inverse of PEG Ratio,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.8184,3,3,[]
latin_america_sales_exposure,Latin America Sales Exposure,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.7939,4,4,[]
liquidity_cash_to_liabilities_ratio,"Liquidity ratio calculated as cash and equivalents divided by current liabilities, using a fixed formula.","{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.8457,2,3,[]
long_term_earnings_growth_forecast,Long-Term Growth Rate Estimates,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,0,0,[]
long_term_growth_estimate,Long-Term Growth Rate Estimates,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,0,0,[]
long_term_growth_estimate_2,Long-Term Growth Rate Estimates,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.4479,0,0,[]
long_term_growth_forecast_2,Long-Term Growth Rate Estimates,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.8509,1,1,[]
market_volatility_index,Market Volatility Sensitivity,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,2,2,[]
mdl177_2_5yearrelativevaluefactor_rel5ybp,5-yr Relative Book-to-Market : It is defined as a stock's current book-to-market ratio (BP) minus the average of the BPs in the last 60-month scaled by the standard deviation of the BPs over the same period.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.8465,5,5,[]
mdl177_2_5yearrelativevaluefactor_rel5ycfp,5-yr Relative TTM Cash Flow-to-Price : It is defined as a stock's current trailing 12-month cash flow-to-price ratio (CFP) minus the average of the CFPs in the last 60-month scaled by the standard deviation of the CFPs over the same period.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.8257,0,0,[]
mdl177_2_5yearrelativevaluefactor_rel5ycoreepsp,5-yr Relative TTM Core Earnings-to-Price,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.8123,1,1,[]
mdl177_2_5yearrelativevaluefactor_rel5ydivp,5-yr Relative TTM Dividend Yield : It is defined as a stock's current dividend yield (DivYield) minus the average of the DivYields in the last 60-month scaled by the standard deviation of the DivYields over the same period.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.51,1,1,[]
mdl177_2_5yearrelativevaluefactor_rel5yebitdap,5-yr Relative TTM EBITDA-to-Price : It is defined as a stock's current trailing 12-month EBITDA per share-to-price ratio (EBITDAP) minus the average of the EBITDAPs in the last 60-month scaled by the standard deviation of the EBITDAPs over the same period.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.7741,0,0,[]
mdl177_2_5yearrelativevaluefactor_rel5yep,5-yr Relative TTM Earnings-to-Price : It is defined as a stock's current trailing 12-month earnings per share before extra items-to-price ratio (EP) minus the average of the EPs in the last 60-month scaled by the standard deviation of the EPs over the same period.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.8033,0,0,[]
mdl177_2_5yearrelativevaluefactor_rel5yfcfp,5-yr Relative TTM Free Cash Flow-to-Price : It is defined as a stock's current trailing 12-month free cash flow-to-price ratio (FCFP) minus the average of the FCFPs in the last 60-month scaled by the standard deviation of the FCFPs over the same period.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.8138,2,2,[]
mdl177_2_5yearrelativevaluefactor_rel5yfwdep,5-yr Relative Leading 12-Month Earnings Yield,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.8744,9,11,[]
mdl177_2_5yearrelativevaluefactor_rel5yocfp,5-yr Relative TTM Oper Cash Flow-to-Price : It is defined as a stock's current trailing 12-month operating cash flow-to-price ratio (OCFP) minus the average of the OCFPs in the last 60-month scaled by the standard deviation of the OCFPs over the same period.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.814,0,0,[]
mdl177_2_5yearrelativevaluefactor_rel5ysp,5-yr Relative TTM Sales-to-Price : It is defined as a stock's current trailing 12-month sales-to-price ratio (SP) minus the average of the SPs in the last 60-month scaled by the standard deviation of the SPs over the same period.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.803,2,2,[]
mdl177_2_deepvaluefactor_acqmul,Acquisition Multiple : It is defined as the most recent quarterly reported invested capital divided by the trailing 12-month EBITDA.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.8272,1,2,[]
mdl177_2_deepvaluefactor_bp,Book-to-Market : It is defined as the most recently reported book value per share for a stock deflated by its month-end trading price.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,2,4,[]
mdl177_2_deepvaluefactor_cashp,Cash-to-Price : It is defined as the most recently reported cash and equivalents per share of a company divided by trading price.,"{'id': 'model77', 'name': ""Analysts' Factor Model""}","{'id': 'model', 'name': 'Model'}","{'id': 'model-technical-models', 'name': 'Technical Models'}",USA,1,TOP3000,MATRIX,1.0,0.9349,1,1,[]
